Category,Package,Duration,Pricing shown,Itinerary shape,URL
Kenya & Tanzania,"10 Days (9 Nights): Kenya & Tanzania Safari - Nairobi, Lake Nakuru, Masai Mara, Serengeti, Ngorongoro, Tarangire, Amboseli, Nairobi",10 Days (9 Nights),Not clearly listed,Nairobi - Lake Nakuru National Park | Lake Nakuru - Masai Mara Game Reserve | Masai Mara Game Reserve | Masai Mara Game Reserve-Isbenia Boarder-Serengeti National Park | Serengeti National Park | Serengeti National Park - Ngorongoro Conservation Area | Ngorongoro Conservation Area - Tarangire National Park | Tarangire National Park-Namanga Boarder - Amboseli National Park,https://ashford-tours.com/product/10-days-9-nights-kenya-tanzania-safari/
Kenya & Tanzania,14 Days (13 Nights): Kenya & Tanzania Safari,14 Days (13 Nights),Not clearly listed,"Nairobi - Lake Nakuru National Park | Lake Nakuru National Park - Lake Naivasha Morning games drives before breakfast and then depart for Lake Naivasha , arri | Lake Naivasha-Masai Mara Game Reserve | Masai Mara Game Reserve | Masai Mara Game Reserve-Isbenia Boarder-Serengeti National Park | Serengeti National Park | Serengeti National Park - Ngorongoro Conservation Area | Ngorongoro Conservation Area - Lake Manyara National Park",https://ashford-tours.com/product/14-days-13-nights-kenya-tanzania-safari/
Kenya & Tanzania,"8 Days (7 Nights) Kenya and Tanzania Safari - Nairobi, Lake Nakuru, Masai Mara, Serengeti, Ngorongoro, Amboseli, Nairobi",8 Days (7 Nights),Not clearly listed,"Nairobi - Lake Nakuru This combined Kenya and Tanzania Safari starts from Nairobi | Lake Nakuru - Masai Mara Game Early morning game drive in the park | Another day in Masai Mara Game Reserve Full days dedicated to game spotting in this sprawling reserve | Masai Mara - Serengeti National Park After breakfast, drive to isbania border point and cross to Tanzania side | Serengeti National Park Full day safari in Serengeti | Serengeti -Ngorongoro National Park Depart after breakfast for Ngorongoro Conservation Area, arriving for early lunch at | Ngorongoro -Amboseli Depart after breakfast for Amboseli National Park with lunch boxes, with clear view of Mount Meru a | Amboseli - Airport Early morning game drive and also mid morning after which drive to Nairobi and transferred to the air",https://ashford-tours.com/product/8-days-7-nights-kenya-and-tanzania-safari/
Kenya Flying Safaris,3 Days 2 Nights Wings over Amboseli National Park,3 Days 2 Nights,Prices From USD 1445,"Nairobi - Amboseli National Park JAMBO - KARIBU KENYA!! Ashford Tours and Travel representatives will warmly meet you at | Full day in Amboseli National Park Enjoy your scheduled morning and afternoon game viewing drives within the park | Amboseli National Park - Nairobi This morning, enjoy your breakfast then check-out",https://ashford-tours.com/product/3-days-2-nights-wings-over-amboseli/
Kenya Flying Safaris,3 Days 2 Nights Wings over Mara,3 Days 2 Nights,Prices From USD 1580,"Nairobi - Masai Mara Game Reserve JAMBO - KARIBU KENYA!! Ashford Tours representatives will warmly meet you at your city | Masai Mara Game Reserve Enjoy your scheduled morning and afternoon game viewing drives within the reserve | Masai Mara Game Reserve - Nairobi This morning, enjoy your breakfast then check-out",https://ashford-tours.com/product/3-days-2-nights-wings-over-mara/
Kenya Flying Safaris,3 Days 2 Nights Wings over Samburu Game Reserve,3 Days 2 Nights,Prices From USD 1530,"Nairobi - Samburu National Reserve JAMBO - KARIBU KENYA!! Ashford Tours representatives will warmly meet you at your cit | Full day in Samburu National Reserve Enjoy your scheduled morning and afternoon game viewing drives within the reserve | Samburu National Reserve - Nairobi This morning, enjoy your breakfast then check-out",https://ashford-tours.com/product/3-days-2-nights-wings-over-samburu/
Kenya Flying Safaris,5 Days 4 Nights Wings over Samburu and Masai Mara,5 Days 4 Nights,"Prices From USD 3,269","Nairobi - Samburu Game Reserves JAMBO - KARIBU KENYA!! Ashford Tours representatives will warmly meet you upon arrival a | Samburu Game Reserves Enjoy morning and afternoon game viewing drives in both Samburu and Buffalo Springs game reserves | Samburu Game Reserves - Masai Mara Game Reserve After breakfast, the camp guide drivers will drop you at the airstrip fo | Masai Mara Game Reserve Enjoy morning and afternoon game viewing drives & adventure | Masai Mara Game Reserve - Nairobi This morning we enjoy our breakfast then check-out",https://ashford-tours.com/product/5-days-4-nights-wings-over-samburu-and-masai-mara/
Kenya Flying Safaris,"7 Days 6 Nights Wings over Amboseli, Samburu and Maasai Mara",7 Days 6 Nights,"Prices From USD 4,300; US$250","Nairobi - Amboseli National Park JAMBO - KARIBU!! Ashford Tours representatives will warmly meet you upon arrival at the | Full day in Amboseli National Park Enjoy your scheduled morning and afternoon game viewing drives within the park | Amboseli National Park - Samburu After breakfast, the camp guide drivers will drop you at the airstrip for your morning | Samburu Game Reserves After breakfast, the camp guide drivers will drop you at the airstrip for your morning scheduled f | Samburu Game Reserves - Masai Mara Game Reserve After breakfast, the camp guide drivers will drop you at the airstrip fo | Masai Mara Game Reserve Enjoy morning and afternoon game viewing drives & adventure | Masai Mara Game Reserve - Nairobi This morning we enjoy our breakfast then check-out",https://ashford-tours.com/product/7-days-6-nights-wings-over-amboseli-samburu-and-maasai-mara/
Kenya Safaris,2 Days (1 Night): Lake Nakuru National Park,2 Days (1 Night),Not clearly listed,Nairobi - Lake Nakuru National Park | Lake Nakuru National Park- Nairobi,https://ashford-tours.com/product/2-days-1-night-lake-nakuru-national-park/
Kenya Safaris,2 Days 1 Night Amboseli National Park Safari,2 Days 1 Night,Not clearly listed,Nairobi-Amboseli Pick up from Nairobi hotel or Airport in the early morning | Amboseli - Nairobi Early morning game drive and return to your lodge for breakfast,https://ashford-tours.com/product/2-days-1-night-amboseli-national-park-safari/
Kenya Safaris,2 Days 1 Night Maasai Mara Game Reserve Safari,2 Days 1 Night,Not clearly listed,"Nairobi - Masai Mara Game Reserve Pick up from your Nairobi hotel or Airport in the morning and drive to Masai Mara Game | Masai Mara - Nairobi Early morning breakfast, after breakfast checkout with packed lunch for more game drive until aroun",https://ashford-tours.com/product/2-days-1-night-maasai-mara-game-reserve-safari/
Kenya Safaris,2 Days 1 Night Ol Pejeta Conservancy,2 Days 1 Night,Not clearly listed,Nairobi - Ol Pejeta Conservancy (Sweet Waters) Morning pick up at 8:00 am and then drive through lush tea and coffee est | Ol Pejeta Conservancy- Nairobi Early morning game drive in Ol Pejeta Conservancy with chance to spot variety of animals,https://ashford-tours.com/product/2-days-1-night-ol-pejeta-conservancy/
Kenya Safaris,3 Days 2 Night Amboseli Safari Package,3 Days 2 Night,US$159; US$956,"Nairobi-Amboseli Pick up from Nairobi hotel or Airport in the early morning | Explore-Amboseli Rising early for good views of Mount Kilimanjaro before clouds build up over the summit, we set off for | Amboseli-Nairobi Early morning game drive and later return to your lodge for Breakfast",https://ashford-tours.com/product/3-days-2-night-amboseli-safari-package/
Kenya Safaris,3 Days Tsavo West Safari,3 Days,US$159; US$999,Nairobi - Tsavo West Depart at 0700 hrs for Tsavo West National Park | Tsavo West Enjoy a game drive at 0630 hrs in search of wildlife | Tsavo West - Nairobi Enjoy an early morning game drive at 0630 hrs in search of wildlife,https://ashford-tours.com/product/3-days-tsavo-west-safari/
Kenya Safaris,3 Days/2 Nights Maasai Mara Road Safari,3 Days,Not clearly listed,"Nairobi - Masai Mara Game Reserve This morning we drive through the dramatic Great Rift Valley to the Masai Mara Nationa | Discover Masai Mara The search for great predators and perhaps even cubs continues today during extensive game runs | Masai Mara - Nairobi Early morning tea / coffee or Hot chocolate, then depart for a morning ‘Spice' game drive",https://ashford-tours.com/product/3-days-2-nights-maasai-mara-road-safari/
Kenya Safaris,4 Days 3 Nights Aberdares / Samburu Luxury Safari,4 Days 3 Nights,US$199; US$1310,Nairobi - Aberdares/Mt | Forest Lodge - Samburu Game Reserve This morning we travel by road to Kenya's northern frontier | Samburu Game Reserve Dawn breaks in golden bands as we start our day in the bush by scanning the river from our tent's v | Samburu - Nairobi Depart our lodge after breakfast and drive back to Nairobi arriving at the city at lunch hour,https://ashford-tours.com/product/4-days-3-nights-aberdares-samburu-luxury-safari/
